galaxy,bibcode,citation,band,modulus,random_error,systematic_error,total_error,category_error,cepheids_number,metal_correction,zero_point,probe_quality,publication_year,review_year,comments,review_author,ads_date,ads_jd
NGC2541,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.343,0.071,,,1,29,False,LMC,1,2003,2026,Maximum-light LMC PL solution. CTE corrected; it agrees closely with the mean-light LMC result.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC2541,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.348,0.071,,,1,29,False,LMC,1,2003,2026,Representative mean-light OGLE LMC solution. CTE corrected; the field metallicity equals the adopted LMC reference.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC2541,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.348,0.071,,,1,29,True,LMC,1,2003,2026,Metallicity-corrected LMC solution. The correction is exactly 0.000 mag because the adopted abundance equals the LMC reference.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC2541,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.356,0.072,,,1,29,True,GC,1,2003,2026,FSG03 Galactic solution with a -0.074 mag metallicity correction relative to Galactic abundance.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC2541,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.43,0.072,,,1,29,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC2541,2006ApJS..165..108S,Saha et al.2006,W(VI),30.5,0.06,0.08,0.1,2,26,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
NGC3198,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.8,0.06,,,1,58,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
NGC3198,2001ApJ...548..564W,Willick & Batra 2001,W(VI),30.71,0.06,,,1,52,False,LMC,1,2001,2024,They do not apply metallicity correction.,Valencia et al.2024,2001-02-00,2451941.5
NGC3198,2001ApJ...549..721M,Macri et al.2001,H,30.25,0.12,,,1,3,True,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2026,2001-03-00,2451969.5
NGC3198,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.68,0.08,,,1,36,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC3198,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.7,0.08,,,1,36,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC3198,2002A&A...383..398P,Paturel et al. 2002,W(VI),31.23,0.07,,,3,-1,False,GC,1,2002,2026,"Not a preferred near-solar solution. Lowering Vlim by 0.5 mag shifts mu by +0.70 mag, revealing severe incompleteness sensitivity. The 187 listed sosie matches are not a unique-star count.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC3198,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.86,0.1,,,1,187,False,GC,1,2002,2024,They use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
NGC3198,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.712,0.062,,,1,36,False,LMC,1,2003,2026,Maximum-light LMC PL solution used as a consistency check. CTE corrected; no metallicity correction.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3198,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.721,0.06,,,1,36,False,LMC,1,2003,2026,Representative mean-light result using the authors' OGLE LMC PL fit. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3198,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.741,0.06,,,1,36,True,LMC,1,2003,2026,LMC mean-light solution with a +0.020 mag metallicity correction; e_R remains the random PL-fit error.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3198,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.751,0.06,,,1,36,True,GC,1,2003,2026,FSG03 Galactic solution with a -0.054 mag metallicity correction. Metallicity uncertainty is systematic.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3198,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.805,0.06,,,1,36,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3198,2006ApJS..165..108S,Saha et al.2006,W(VI),30.8,0.08,0.08,0.113137085,2,51,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
NGC3319,2000ApJ...529..745F,Ferrarese et al.2000b,W(VI),30.78,0.1,,,1,28,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
NGC3319,2001ApJ...548..564W,Willick & Batra 2001,W(VI),30.7,0.08,,,1,28,False,LMC,1,2001,2024,They do not apply error for metallicity.,Valencia et al.2024,2001-02-00,2451941.5
NGC3319,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.62,0.09,,,1,33,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC3319,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.64,0.09,,,1,33,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC3319,2002A&A...383..398P,Paturel et al. 2002,W(VI),30.91,0.06,,,3,-1,False,GC,1,2002,2026,"Not a preferred near-solar solution. Lowering Vlim by 0.5 mag shifts mu by +0.89 mag, the strongest sensitivity in this subset. The 88 sosie matches are not a verified unique-Cepheid count.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC3319,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.7,0.08,,,1,88,False,GC,1,2002,2024,Using data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
NGC3319,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.462,0.094,,,1,33,True,GC,1,2003,2026,FSG03 Galactic solution with a -0.098 mag metallicity correction relative to the Galactic reference.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3319,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.477,0.092,,,1,33,True,LMC,1,2003,2026,LMC mean-light solution with a -0.024 mag metallicity correction. The additive correction leaves e_R unchanged.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3319,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.479,0.092,,,1,33,False,LMC,1,2003,2026,Maximum-light LMC PL consistency solution. CTE corrected and not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3319,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.501,0.092,,,1,33,False,LMC,1,2003,2026,Representative mean-light OGLE LMC solution. CTE corrected but not metallicity corrected; random error only.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3319,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.56,0.094,,,1,33,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected without metallicity adjustment.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC3319,2006ApJS..165..108S,Saha et al.2006,W(VI),30.74,0.08,0.08,0.113137085,2,26,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
NGC4258,2001ApJ...548..564W,Willick & Batra 2001,W(VI),29.49,0.12,,,1,15,False,LMC,1,2001,2024,No metallicity correction applied.,Valencia et al.2024,2001-02-00,2451941.5
NGC4258,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.44,0.07,,,1,15,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
NGC4258,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.51,0.07,,,1,15,True,LMC,1,2001,2024,Metallicity correction applied with same uncertainty as without correction. The systematic analysis only appears when estimating H0.,Valencia et al.2024,2001-05-00,2452030.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.38,0.07,,,1,15,False,LMC,1,2001,2024,DoPPHOT(chip3).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.4,0.06,,,1,15,False,LMC,1,2001,2024,DoPPHOT(all).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.4,0.1,,,1,15,False,LMC,1,2001,2024,ALLFRAME (chip2).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.4,0.1,,,1,15,False,LMC,1,2001,2024,ALLFRAME corrected (chip2).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.43,0.1,,,1,15,False,LMC,1,2001,2024,DoPPHOT(chip2).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.44,0.06,,,1,15,False,LMC,1,2001,2024,ALLFRAME corrected (all).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.48,0.09,,,1,15,False,LMC,1,2001,2024,ALLFRAME corrected (chip3).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.53,0.07,,,1,15,False,LMC,1,2001,2024,ALLFRAME (all).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2001ApJ...553..562N,Newman et al.2001,W(VI),29.65,0.09,,,1,15,False,LMC,1,2001,2024,ALLFRAME (chip3).,Valencia et al.2024,2001-06-00,2452061.5
NGC4258,2002A&A...383..398P,Paturel et al. 2002,W(VI),29.53,0.1,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution calibrated from Galactic Cepheids, not from the NGC4258 maser distance. Table 6 lists 65 sosie matches, not a distinct-Cepheid count.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002ApJ...566..833C,Caputo et al. 2002,W(VI),29.32,0.14,0.09643650761,0.17,3,15,True,LMC,1,2002,2026,"Theoretical pulsation-model correction interpolated between Z=0.008 and 0.02. For mu_LMC=18.50+/-0.10, equation (5) gives D=7.3+/-0.6 Mpc, close to the maser distance.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002ApJ...566..833C,Caputo et al. 2002,W(VI),29.42,0.09,0.08,0.1204159458,3,15,False,LMC,1,2002,2026,Empirical LMC No corrected & Wesenheit-PL.Using this empirical WPL relation for the HST magnitudes of NGC 4258 Cepheids listed in N2001 and adopting zero-point LMC =18.50 mag,Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002ApJ...566..833C,Caputo et al. 2002,W(VI),29.47,0.09,,,3,15,True,LMC,1,2002,2026,Theoretical LMC No corrected & Wesenheit-PL.Adopting zero-point LMC =18.50 mag,Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002ApJ...566..833C,Caputo et al. 2002,W(VI),29.49,0.14,0.09643650761,0.17,3,15,True,LMC,1,2002,2026,"Empirical metallicity correction. For mu_LMC=18.50+/-0.10, equation (4) gives D=7.9+/-0.6 Mpc. e_R is the relative-modulus error; e_T includes the LMC zero-point uncertainty.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002ApJ...566..833C,Caputo et al. 2002,W(VI),29.51,0.14,,,3,15,False,GC,1,2002,2026,Empirical GC No corrected & Wesenheit-PL. I Guess...,Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002ApJ...566..833C,Caputo et al. 2002,W(VI),29.64,0.09,0.1,0.1345362405,3,15,False,LMC,1,2002,2026,Theoretical LMC No corrected & Wesenheit-PL.,Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC4258,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),29.45,0.07,,,1,65,False,GC,1,2002,2024,Use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
NGC4258,2003ApJ...586..959N,Ngeow et al. 2003,W(VI),29.31,0.06,,,3,15,False,LMC,1,2003,2026,Final value after a -0.07 mag WFPC2 long-versus-short CTE calibration correction. The 0.06 mag random error is retained; systematic and total uncertainties are not quantified.,Quintero-Salazar et al.2026,2003-04-00,2452730.5
NGC4258,2003ApJ...586..959N,Ngeow et al. 2003,W(VI),29.38,0.06,,,3,15,False,LMC,1,2003,2026,Direct Fourier-reconstruction result using 15 published HST Cepheids and H0KP PL/extinction prescriptions. Random error only; no metallicity or total-error solution is provided.,Quintero-Salazar et al.2026,2003-04-00,2452730.5
NGC4258,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.352,0.057,,,1,15,False,LMC,1,2003,2026,Maximum-light LMC PL solution used as a consistency check. No CTE or metallicity correction was required.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC4258,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.37,0.056,,,1,15,False,LMC,1,2003,2026,Representative mean-light OGLE LMC solution. No CTE correction was needed because the photometry used the Stetson calibration.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC4258,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.397,0.058,,,1,15,True,GC,1,2003,2026,FSG03 Galactic solution with a negligible -0.004 mag metallicity correction.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC4258,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.401,0.058,,,1,15,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. No CTE or metallicity correction was applied.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC4258,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),29.44,0.056,,,1,15,True,LMC,1,2003,2026,LMC mean-light result with a +0.070 mag metallicity correction. This is the value highlighted in the abstract.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
NGC4258,2004MNRAS.349.1130N,Ngow & Kanbur 2004,W(VI),29.49,0.06,,,1,15,False,GC,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-04-00,2453096.5
NGC4258,2006ApJS..165..108S,Saha et al.2006,W(VI),29.63,0.05,0.08,0.09433981132,2,14,True,GC+LMC,1,2006,2024,"Data from Macri et al. 2006, apply metallicity correction but it is not clear how they do it.",Valencia et al.2024,2006-07-00,2453917.5
NGC4258,2006ApJ...652.1133M,Macri et al.2006,W(VI),29.1,0.04,,,5,85,False,LMC,1,2006,2024,Internal field but using the methodology of Freedman et al. 2001.,Valencia et al.2024,2006-12-00,2454070.5
NGC4258,2006ApJ...652.1133M,Macri et al.2006,W(VI),29.12,0.04,,,5,69,False,LMC,1,2006,2024,Internal field.,Valencia et al.2024,2006-12-00,2454070.5
NGC4258,2006ApJ...652.1133M,Macri et al.2006,W(VI),29.27,0.04,,,5,38,False,LMC,1,2006,2024,External field but using the methodology of Freedman et al. 2001.,Valencia et al.2024,2006-12-00,2454070.5
NGC4258,2006ApJ...652.1133M,Macri et al.2006,W(VI),29.28,0.05,,,5,20,False,LMC,1,2006,2024,"mu_0 relative to NGC4258, external field, sigma_ran is relative to NGC4258 and they calculate gamma.",Valencia et al.2024,2006-12-00,2454070.5
NGC4258,2007AJ....133.1810B,Benedict et al.2007,W(VI),29.28,0.08,,,1,85,True,LMC,1,2007,2024,There are no specific comments on the publication.,Valencia et al.2024,2007-04-00,2454191.5
NGC4258,2007MNRAS.379..723V,van Leeuwen et al.2007,W(VI),29.22,0.03,,,1,69,True,GC,1,2007,2024,There are no specific comments on the publication.,Valencia et al.2024,2007-08-00,2454313.5
NGC4258,2007ApJ...671.1640A,Aloisi et al.2007,W(VI),29.28,0.1,0.16,0.1886796226,2,-1,True,LMC,1,2007,2024,[O/H]=8.93 use data from Macri et al. 2006 and apply metallicity correction based on theoretical models.,Valencia et al.2024,2007-12-00,2454435.5
NGC4258,2008ApJ...684..102B,Bono et al.2008,W(VI),29.12,0.23,,,3,-1,True,TM,1,2008,2024,"[O/H]=8.53, use data from Macri et al. 2006 and apply metallicity correction based on theoretical models.",Valencia et al.2024,2008-09-00,2454710.5
NGC4258,2008ApJ...684..102B,Bono et al.2008,W(VI),29.35,0.12,,,3,-1,True,TM,1,2008,2024,"Use angular diameter of galactic Cepheids, data from Macri et al. 2026.",Valencia et al.2024,2008-09-00,2454710.5
NGC4258,2008MNRAS.390.1762D,Di Benedetto 2008,W(VI),29.28,0.03,0.03,0.04242640687,2,-1,False,GC,1,2008,2024,Detailed article from 2008MNRAS.390.1762D but the errors are different from the previous one.,Valencia et al.2024,2008-11-00,2454771.5
NGC4258,2010ApJ...715..277B,Bono et al. 2010,W(BV),29.15,0.21,,,1,-1,True,GC,1,2010,2026,"As in NED: GClstr LGG 290 BCG 1 of 1, BV(W), inner",Quintero-Salazar et al.2026,2010-05-00,2455317.5
NGC4258,2010ApJ...715..277B,Bono et al. 2010,W(VI),29.18,0.21,,,1,-1,True,GC,1,2010,2026,"As in NED: GClstr LGG 290 BCG 1 of 1, VI(W), inner",Quintero-Salazar et al.2026,2010-05-00,2455317.5
NGC4258,2010ApJ...715..277B,Bono et al. 2010,W(VI),29.4,0.13,,,1,-1,True,GC,1,2010,2026,"As in NED: GClstr LGG 290 BCG 1 of 1, VI(W), outer",Quintero-Salazar et al.2026,2010-05-00,2455317.5
NGC4258,2010ApJ...715..277B,Bono et al. 2010,W(VI),29.49,0.21,,,1,-1,True,GC,1,2010,2026,"As in NED: GClstr LGG 290 BCG 1 of 1, BV(W), outer",Quintero-Salazar et al.2026,2010-05-00,2455317.5
NGC4258,2013MNRAS.430..546D,Di Benedetto 2013,W(VI),29.28,0.05,,,3,31,True,LMC,1,2013,2024,"Use parallax, data from Riess et al. 2011, H0 review article.",Valencia et al.2024,2013-03-00,2456352.5
NGC4258,2013MNRAS.434.2866F,Fiorentino et al.2013,F160W,29.345,0.004,,,1,117,True,LMC,1,2013,2026,"Pure theoretical F160W PL fit for Z=0.02, Y=0.28 and P>10 d. The fit uses 117 good Cepheids; sigma=0.34 mag. The quoted SEM uses Ntot=167. The maser distance is only an external comparison.",Quintero-Salazar et al.2026,2013-10-00,2456566.5
NGC4258,2014MNRAS.440.1138E,Efstathiou 2014,W(VI),29.24,0.08,,,1,120,True,GC,3,2014,2024,There are no specific comments on the publication.,Valencia et al.2024,2014-05-00,2456778.5
NGC4258,2015AJ....149..183H,Hatt et al.2015,gri,29.18,0.23,,,3,94,False,LMC,2,2015,2024,There are no specific comments on the publication.,Valencia et al.2024,2015-06-00,2457174.5
NGC4258,2015MNRAS.450.3597F,Fausnaugh et al.2015,BVIH,29.4,0.08,,,3,81,True,LMC,2,2015,2024,"Flow calibration from HST/WFC3 of the SH0ES project, they use metallicity gradient for metallicity correction.",Valencia et al.2024,2015-07-00,2457204.5
NGC4395,2004AJ....127.2322T,Tammann et al.2004,W(ri),28.02,0.18,,,1,11,False,LMC,3,2004,2024,They use synthetic transformations to apply LMC RPL to the gri bands.,Valencia et al.2024,2004-04-00,2453096.5
NGC6822,2000ApJ...529..745F,Ferrarese et al.2000,BVRI,23.49,0.09,,,1,8,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
NGC6822,2001ApJ...548..564W,Willick & Batra 2001,W(VI),23.27,0.18,,,1,6,False,LMC,1,2001,2024,They do not apply a metallicity correction.,Valencia et al.2024,2001-02-00,2451941.5
NGC6822,2002A&A...383..398P,Paturel et al. 2002,W(VI),23.38,0.52,,,3,-1,False,GC,2,2002,2026,Ground-based solution based on only four sosie matches and not flagged as secure. Its 0.52 mag internal error is exceptionally large. The number of distinct Cepheids used is not stated unambiguously.,Quintero-Salazar et al.2026,2002-02-00,2452306.5
NGC6822,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),23.22,0.52,,,1,4,False,GC,1,2002,2024,They use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
NGC6822,2004ApJ...608...42S,Sakai et al.2004,W(VI),23.3,0.07,,,1,-1,False,LMC,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-06-00,2453157.5
NGC6822,2004ApJ...608...42S,Sakai et al.2004,BVRI,23.39,0.08,,,1,-1,False,LMC,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-06-00,2453157.5
NGC6822,2004AJ....128.2815P,Pietrzynski et al.2004,W(VI),23.34,0.04,0.05,0.06403124237,2,116,False,LMC,2,2004,2024,sigma_sys does not consider the LMC error and they mention that they do not apply a metallicity correction because it is negligible.,Valencia et al.2024,2004-12-00,2453340.5
NGC6822,2006ApJS..165..108S,Saha et al.2006,W(VI),23.31,0.03,0.08,0.08544003745,2,21,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
NGC6822,2006ApJ...647.1056G,Gieren et al.2006,JK,23.31,0.02,0.06,0.0632455532,2,56,True,LMC,2,2006,2024,mu_LMC = 18.5 but they do not mention its error.,Valencia et al.2024,2006-08-00,2453948.5
NGC6822,2009ApJ...693..936M,Madore et al.2009b,"BVRIJHK3.6,4.5,5.8,8.0",23.49,0.03,,,1,16,True,LMC,1,2009,2024,Adjustment of mu based on the extinction law curve.,Valencia et al.2024,2009-03-00,2454891.5
NGC6822,2010ApJ...715..277B,Bono et al. 2010,JK(W),23.34,0.18,,,1,20,True,LMC,1,2010,2026,No comments by now.,Quintero-Salazar et al.2026,2010-05-00,2455317.5
NGC6822,2010ApJ...715..277B,Bono et al. 2010,VI(W),23.38,0.22,,,1,20,True,LMC,1,2010,2026,No comments by now.,Quintero-Salazar et al.2026,2010-05-00,2455317.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,W(VI),23.34,,,0.04,4,32,False,LMC,3,2012,2024,"They mention that the error already contains the LMC error, but the error used is not clearly stated.",Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,3.6micras,23.36,,,0.06,4,14,True,LMC,3,2012,2024,There are no specific comments on the publication.,Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,5.8micras,23.37,,,0.14,4,6,True,LMC,3,2012,2024,There are no specific comments on the publication.,Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,4.5micras,23.4,,,0.08,4,12,True,LMC,3,2012,2024,There are no specific comments on the publication.,Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,8micras,23.4,,,0.14,4,2,True,LMC,3,2012,2024,There are no specific comments on the publication.,Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,JKs,23.42,,,0.03,4,32,True,LMC,3,2012,2024,"They mention that the error already contains the LMC error, but the error used is not clearly stated.",Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012MNRAS.421.2998F,Feast et al.2012,VIJHK,23.43,0.02,,,1,32,True,LMC,3,2012,2024,They mention that it is an internal value.,Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2014ApJ...794..107R,Rich et al.2014,"BVRIJHK3.6,4.5micras",23.38,0.02,0.04,0.04472135955,2,34,True,LMC,1,2014,2024,"They adjust the extinction law for each Cepheid with multiband and obtain the median of the distribution, adopting mu_LMC =18.44+/-0.03.",Valencia et al.2024,2014-10-00,2456931.5
NGC6822,2014A&A...572A..64M,Majewski et al.2014,W(VI),23.23,0.04,0.13,0.1360147051,2,-1,False,LMC,1,2014,2024,"They mention possible photometric contamination in Spitzzer 2009ApJ...639..936M, internal region, and study the effect of metallicity.",Valencia et al.2024,2014-12-00,2456992.5
NGC6822,2014A&A...572A..64M,Majewski et al.2014,3.6micras,23.27,0.07,0.15,0.1655294536,2,-1,True,LMC,1,2014,2024,Internal region.,Valencia et al.2024,2014-12-00,2456992.5
NGC6822,2014A&A...572A..64M,Majewski et al.2014,W(VI),23.3,0.03,0.17,0.172626765,2,-1,False,LMC,1,2014,2024,External region.,Valencia et al.2024,2014-12-00,2456992.5
NGC6822,2014A&A...572A..64M,Majewski et al.2014,3.6micras,23.32,0.05,0.16,0.1676305461,2,-1,True,LMC,1,2014,2024,External region.,Valencia et al.2024,2014-12-00,2456992.5
NGC6822,2016AJ....151...88B,Bhardwaj et al.2016,JHK,23.39,0.08,,,1,20,True,GC,2,2016,2024,They calculate gamma.,Valencia et al.2024,2016-04-00,2457479.5
NGC6822,2016AJ....151...88B,Bhardwaj et al.2016,JHK,23.41,0.06,,,1,20,True,LMC,2,2016,2024,They calculate gamma.,Valencia et al.2024,2016-04-00,2457479.5
NGC6822,2016AJ....151...88B,Bhardwaj et al.2016,JHK,23.43,0.06,,,1,20,True,LMC+GC,2,2016,2024,They calculate gamma.,Valencia et al.2024,2016-04-00,2457479.5
M96,2000ApJ...529..723G,Gibson et al. 2000,W(VI),30.2,0.1,0.16,0.1886796226,2,7,False,LMC,1,2000,2026,Final ALLFRAME+TRIAL solution from 7 of 11 Cepheids with P>20 d; shorter-period stars were excluded for incompleteness. Hill et al. calibration and R_V=3.3 were adopted. No metallicity correction enters this modulus.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
M96,2000ApJ...529..723G,Gibson et al. 2000,W(VI),30.36,0.09,0.16,0.1835755975,2,7,False,LMC,1,2000,2026,Alternative solution obtained by applying the standard Key Project PL fit to the original Tanvir et al. photometry. It uses seven long-period Cepheids and is not the paper's preferred ALLFRAME distance.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
M96,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.2,0.1,,,1,-1,False,LMC,1,2000,2026,They calculate gamma.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
M96,2001ApJ...547L.103G,Gibson & Stetson 2001,W(VI),29.956,0.098,,,3,7,False,LMC,1,2001,2026,"Uncorrected re-fit of seven previously selected Cepheids using the Stetson WFPC2 zero point, Udalski OGLE-LMC PL relations and mu_LMC=18.45. The error is the internal R_PL term; no galaxy-specific systematic error is tabulated.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
M96,2001ApJ...547L.103G,Gibson & Stetson 2001,W(VI),30.096,0.098,,,3,7,True,LMC,1,2001,2026,"Metallicity-corrected counterpart of the same seven-star fit, using gamma_VI=-0.2 mag dex^-1 and the adopted field abundance. The correction raises the modulus by 0.140 mag; e_R remains the internal R_PL term.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
M96,2001ApJ...548..564W,Willick & Batra 2001,VI,29.94,0.13,,,3,11,False,LMC,1,2001,2026,"HST V,I data originally from Tanvir et al. and reanalyzed by the Key Project. The quoted error is random only. A common LMC zero-point uncertainty of about 0.2 mag is discussed but not included.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
M96,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.97,0.06,,,1,9,False,LMC,1,2001,2026,Final period-cut Wesenheit fit before abundance correction. e_R is the random PL-fit error only; N_cef is the post-cut sample.,Quintero-Salazar et al.2026,2001-05-00,2452030.5
M96,2001ApJ...553...47F,Freedman et al.2001,W(VI),30.11,0.06,,,1,9,True,LMC,1,2001,2026,"Table 4 mu_Z, using gamma=-0.2 mag dex^-1 relative to the LMC. Metallicity uncertainty is systematic and excluded from e_R.",Quintero-Salazar et al.2026,2001-05-00,2452030.5
