galaxy,bibcode,citation,band,modulus,random_error,probe_quality,publication_year,review_year,comments,review_author,ads_date,ads_jd
NGC6822,2003AJ....125.3097W,Wyder 2003,F814W(F555W F814W),23.56,0.3,1,2003,2026,"Outermost C1 field. I_TRGB=20.30+/-0.30, (V-I)_TRGB=1.94, and A_V=1.20. Its larger uncertainty reflects the broad Sobel-response peak; extinction was obtained from CMD fitting.",Quintero-Salazar et al.2026,2003-06-00,2452791.5
NGC6822,2005A&A...429..837C,"Cioni, M.-R. & Habing, H. J. 2005",I(JK),23.34,0.12,2,2005,2024,There are no specific comments on the publication.,Valencia et al.2024,2005-01-00,2453371.5
NGC6822,2011AJ....141..194G,Gorski et al.2011,K(JK),23.26,0.07,2,2011,2024,Data from Gieren et al. 2006.,Valencia et al.2024,2011-06-00,2455713.5
NGC6822,2011AJ....141..194G,Gorski et al.2011,J(JK),23.31,0.05,2,2011,2024,Data from Gieren et al. 2006.,Valencia et al.2024,2011-06-00,2455713.5
NGC6822,2012A&A...540A..49M,"McCall, M. L. et al.2012",I(VI),23.32,0.1,2,2012,2024,"It is not known whether the observations were made in Spain, Mexico, Chile, or Hawaii.",Valencia et al.2024,2012-04-00,2456018.5
NGC6822,2012A&A...548A.129F,Fusco et al. 2012,F814W(F475W F814W),23.51,0.05,1,2012,2026,"Uses m_TRGB,0=19.41+/-0.03 and a BaSTI calibration M_F814W=-4.10+/-0.04. This approach assumes a metallicity range for the old RGB population.",Quintero-Salazar et al.2026,2012-12-00,2456262.5
NGC6822,2012A&A...548A.129F,Fusco et al. 2012,F814W(F475W F814W),23.53,0.05,1,2012,2026,"Adopted from the agreement of the 23.51 and 23.54 solutions. The main text quotes 23.53, whereas the abstract and conclusions report 23.54+/-0.05.",Quintero-Salazar et al.2026,2012-12-00,2456262.5
NGC6822,2012A&A...548A.129F,Fusco et al. 2012,F814W(F475W F814W),23.54,0.05,1,2012,2026,"Uses the dereddened TRGB color, 2.36+/-0.04, in a BaSTI magnitude-color relation. This minimizes sensitivity to uncertain age and metallicity.",Quintero-Salazar et al.2026,2012-12-00,2456262.5
NGC1073,2021AstBu..76..255T,Tikhonov & Galazutdinova 2021,I(V[F606W]),30.26,0.13,1,2021,2026,Direct HST/ACS TRGB result. No F814W image was available: V_TRGB=27.84+/-0.05 from F606W was converted using an adopted (V-I)_TRGB=1.60+/-0.05. e_R was propagated from D=11.28+/-0.70 Mpc.,Quintero-Salazar et al.2026,2021-07-00,2459396.5
NGC2500,2018ApJS..235...23S,Sabbi et al.2018,F814W(F555W F814W),30.18,0.46,1,2018,2026,"The TRGB lies less than 1 mag above the detection limit, so the distance may be underestimated. Its unusually tight RGB morphology also conflicts with literature metallicity values.",Quintero-Salazar et al.2026,2018-03-00,2458178.5
M96,2009ApJ...694.1331M,Mould & Sakai 2009,F814W(F606W F814W),29.65,0.28,1,2009,2026,Direct archival HST/WFPC2 measurement. Population I regions were excised and the edge response was weighted by sqrt(LF). I_TRGB=25.66+/-0.28 and A_I=0.05. No separate mu_0 error is tabulated; e_R follows the tip uncertainty.,Quintero-Salazar et al.2026,2009-04-00,2454922.5
M96,2013ApJ...773...13L,Lee & Jang 2013,F814W(F555W F814W),30.15,0.03,1,2013,2026,"Measurement error is 0.03 mag, with an additional 0.12 mag systematic. Internal RGB extinction is assumed negligible. The result is 0.50 mag larger than the earlier TRGB estimate.",Quintero-Salazar et al.2026,2013-08-00,2456505.5
M96,2017ApJ...836...74J,Jang & Lee 2017,F814W(F555W F814W),30.189,0.064,1,2017,2026,Combined NGC 4258+LMC blue-I solution from reprocessed HST/ACS outer-field photometry (R_GC>=3.5 arcmin). Error is random only; the common calibration systematic is 0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
M96,2017ApJ...836...74J,Jang & Lee 2017,QT(F555W F814W),30.223,0.054,1,2017,2026,Preferred color-corrected QT solution on the combined NGC 4258+LMC scale. Artificial-star corrections were applied. Error is random only; systematic=0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
M96,2018ApJS..235...23S,Sabbi et al.2018,F814W(F555W F814W),29.96,0.56,1,2018,2026,"The TRGB lies less than 1 mag above the detection limit, so the distance may be underestimated. M_I=-4.0+/-0.2 averages over unknown metallicity; only foreground extinction is used.",Quintero-Salazar et al.2026,2018-03-00,2458178.5
NGC3370,2017ApJ...836...74J,Jang & Lee 2017,F814W(F555W F814W),32.243,0.035,1,2017,2026,Combined-anchor blue-I result from deep archival ACS halo photometry (SMA>=2.0 arcmin). Sobel edge detection and bootstrap were used. Error is random; systematic=0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
NGC3370,2017ApJ...836...74J,Jang & Lee 2017,QT(F555W F814W),32.253,0.041,1,2017,2026,Preferred combined-anchor QT result. QT corrects F814W for RGB color and uses a wider color interval. The artificial-star offset is 0.030 mag. Systematic=0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
NGC3370,2024ApJ...976..177L,Li et al. 2024,F090W(F090W F150W),32.19,0.08,1,2024,2026,Baseline s=0.05 mag smoothing. The same tip is found at s=0.10. Add sigma_var=0.02 mag for measurement choices. The 0.032 mag NGC 4258 maser uncertainty is excluded.,Quintero-Salazar et al.2026,2024-12-00,2460645.5
NGC3370,2024ApJ...976..177L,Li et al. 2024,F090W(F090W F150W),32.19,0.06,1,2024,2026,Alternative s=0.10 mag smoothing gives the same mu_0 as the baseline but a smaller formal error. Add sigma_var=0.02 mag; the 0.032 mag maser uncertainty is excluded.,Quintero-Salazar et al.2026,2024-12-00,2460645.5
M66,2009ApJ...697..996M,Mould & Sakai 2009,F814W(F555W F814W),29.82,0.1,1,2009,2026,Direct archival HST/ACS-WFC measurement. I_TRGB=25.83+/-0.10 is reported as color-independent. Applying A_I=0.06 mag gives mu_0=29.82. The result is used to calibrate SN Ia luminosity.,Quintero-Salazar et al.2026,2009-06-00,2454983.5
M66,2013ApJ...773...13L,Lee & Jang 2013,F814W(F555W F814W),30.12,0.03,1,2013,2026,"Measurement error is 0.03 mag, with an additional 0.12 mag systematic. Internal RGB extinction is assumed negligible. The result exceeds previous TRGB estimates by 0.30-0.52 mag.",Quintero-Salazar et al.2026,2013-08-00,2456505.5
M66,2017ApJ...836...74J,Jang & Lee 2017,F814W(F555W F814W),30.175,0.087,1,2017,2026,Combined NGC 4258+LMC blue-I solution from reprocessed HST/ACS outer-field photometry (R_GC>=4.3 arcmin). Error is random only; the common systematic is 0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
M66,2017ApJ...836...74J,Jang & Lee 2017,QT(F555W F814W),30.18,0.038,1,2017,2026,Preferred color-corrected QT solution on the combined NGC 4258+LMC scale. QT gives a narrower TRGB edge response. Error is random only; systematic=0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
M66,2018ApJS..235...23S,Sabbi et al.2018,F814W(F555W F814W),30.14,0.54,1,2018,2026,"Flagged as uncertain because crowding, distance and metallicity blur the TRGB. M_I=-4.0+/-0.2 is adopted and only foreground extinction is corrected. Use with caution.",Quintero-Salazar et al.2026,2018-03-00,2458178.5
UGC08091,2006AJ....132..729T,Tully et al.2006,F814W(F555W F814W),26.64,0.05,1,2006,2026,"Archival HST/WFPC2 program 5915, analyzed with HSTPHOT and modified maximum likelihood. I_TRGB=22.64+/-0.05 and A_I=0.05. e_R reflects the TRGB fit; the adopted M_F814W=-4.05 zero point was treated as fixed.",Quintero-Salazar et al.2026,2006-08-00,2453948.5
UGC08091,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F475W F814W),26.588,0.023,1,2009,2026,New ANGST ACS imaging. M_TRGB=-4.03. e_R is propagated from D=2.08+/-0.022 Mpc. The quoted uncertainty is statistical and excludes dust and absolute-TRGB systematics.,Quintero-Salazar et al.2026,2009-07-00,2455013.5
UGC08091,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),26.69,0.12,1,2009,2026,"mu_0 does not appear in the publication table because it is truncated, but it is online.",Quintero-Salazar et al.2026,2009-08-00,2455044.5
UGC08091,2012A&A...540A..49M,"McCall, M. L. et al.2012",I(VI),26.43,0.1,2,2012,2026,"It is unclear whether these observations are from Spain, Mexico, Chile, or Hawaii. Donde esta en la publicacion? Raro",Quintero-Salazar et al.2026,2012-04-00,2456018.5
UGC08091,2018AstBu..73...22T,Tikhonov 2018,F814W(F606W F814W),26.65,0.15,1,2018,2026,"No object-specific uncertainty is listed; e_R is the global external accuracy. The derived distance, 2.14 Mpc, closely matches the NED TRGB median of 2.15 Mpc.",Quintero-Salazar et al.2026,2018-01-00,2458119.5
NGC5204,2003A&A...398..467K,Karachentsev et al. 2003,F814W(F606W F814W),28.34,0.27,1,2003,2026,The CMD shows a mixed stellar population and a prominent RGB. I_TRGB=24.31+/-0.26 and A_I=0.02 mag. The TRGB distance agrees with the earlier brightest-stars estimate of 4.9+/-1.0 Mpc.,Quintero-Salazar et al.2026,2003-02-00,2452671.5
NGC5204,2013AstBu..68..125M,Makarov et al. 2013,F814W(F606W F814W),28.3,0.19,1,2013,2026,"Severe crowding, young-star contamination, and a TRGB only about 1 mag above the limit required an outer-region selection and edge detection instead of maximum likelihood.",Quintero-Salazar et al.2026,2013-04-00,2456383.5
NGC5204,2015MNRAS.450.3886M,McQuinn et al. 2015,F814W(F606W F814W),28.4,0.05,1,2015,2026,"They do not perform a new TRGB measurement of NGC 5204. The aim of the article is to reconstruct its recent star-formation history. However, in the NED database, it appears as a TRGB measurement with a value different from that of the possible reference source(s).",Quintero-Salazar et al.2026,2015-07-00,2457204.5
UGC09128,2000AJ....119..177A,Aparicio et al. 2000,I(VI),27,0.2,2,2000,2026,"TRGB measured using a Sobel filter: I_TRGB = 22.95 +/- 0.17. Extinction is negligible, and tests with artificial stars show no significant crowding bias. Calibration by Lee et al. (1993); d = 2.5 +/- 0.2 Mpc.",Quintero-Salazar et al.2026,2000-01-00,2451544.5
UGC09128,2006AJ....132..729T,Tully et al.2006,F814W(F606W F814W),26.75,0.05,1,2006,2026,"New HST/ACS program 10210 data, reduced with DOLPHOT and fitted by modified maximum likelihood. I_TRGB=22.75+/-0.05 and A_I=0.05. e_R excludes any unreported systematic uncertainty in the fixed TRGB zero point.",Quintero-Salazar et al.2026,2006-08-00,2453948.5
UGC09128,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),26.717,0.067,1,2009,2026,Archival HST/ACS imaging was uniformly reprocessed by ANGST. M_TRGB=-4.03. e_R is propagated from D=2.21+/-0.068 Mpc; dust and absolute-calibration systematics are not included.,Quintero-Salazar et al.2026,2009-07-00,2455013.5
UGC09128,2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),26.8,0.04,1,2009,2026,"mu_0 does not appear in the publication table because it is truncated, but it is online.",Quintero-Salazar et al.2026,2009-08-00,2455044.5
UGC09128,2012A&A...540A..49M,"McCall, M. L. et al.2012",I(VI),26.68,0.1,2,2012,2026,"It is unclear whether these observations are from Spain, Mexico, Chile, or Hawaii. Donde esta en la publicacion? Raro",Quintero-Salazar et al.2026,2012-04-00,2456018.5
UGC09128,2013AstBu..68..125M,Makarov et al. 2013,F814W(F606W F814W),26.79,0.07,1,2013,2026,ACS/WFC archival photometry analyzed uniformly with TRGBTOOL and a color-dependent calibration. The measured F814W_TRGB is 22.71+/-0.04.,Quintero-Salazar et al.2026,2013-04-00,2456383.5
UGC09128,2013AJ....146...86T,Tully et al.2013,F814W(F606W F814W),26.78,0.08,1,2013,2026,"Survey of 8,000 galaxies.",Quintero-Salazar et al.2026,2013-10-00,2456566.5
UGC09128,2018AstBu..73...22T,Tikhonov 2018,F814W(F606W F814W),26.73,0.15,1,2018,2026,"No object-specific uncertainty is listed; e_R is the global external accuracy. The derived distance is 2.22 Mpc, close to the NED TRGB median of 2.27 Mpc.",Quintero-Salazar et al.2026,2018-01-00,2458119.5
UGC09128,2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),26.75,0.04,1,2024,2026,Direct HST F814W TRGB measurement. The ML uncertainty is small; the common Freedman (2021) zero point introduces shared calibration uncertainty. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
UGC09128,2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),26.76,0.16,1,2024,2026,NIR remeasurement using the new color correction. It agrees with F814W but is an internal validation tied to the optical distance scale. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
UGC09128,2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),26.76,0.16,1,2024,2026,F160W result consistent with both F110W and F814W. It shares the F814W-based calibration and is not an independent geometric distance. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC5584,2015ApJ...807..133J,Jang & Lee 2015,F814W(F555W F814W),31.76,0.04,1,2015,2026,"First TRGB distance for NGC 5584. The listed error is random; an additional 0.12 mag systematic applies. Blue RGB selection minimizes crowding and host extinction, which is assumed negligible.",Quintero-Salazar et al.2026,2015-07-00,2457204.5
NGC5584,2017ApJ...836...74J,Jang & Lee 2017,QT(F555W F814W),31.751,0.049,1,2017,2026,Preferred combined-anchor QT solution from the lowest-sky region. A 0.006 mag artificial-star offset was applied. Error is random only; systematic=0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
NGC5584,2017ApJ...836...74J,Jang & Lee 2017,F814W(F555W F814W),31.784,0.06,1,2017,2026,Combined-anchor blue-I solution from uniformly reprocessed HST/ACS photometry in the lowest-sky region. Error is random only; the common systematic is 0.057 mag.,Quintero-Salazar et al.2026,2017-02-00,2457785.5
NGC5584,2024ApJ...966...89A,Anand et al. 2024,F090W(F090W F150W),31.8,0.08,1,2024,2026,"Preliminary JWST result using a method-matched unweighted Sobel calibration from NGC4258. A secondary edge lies about 0.1 mag fainter, but artificial-star bias is below 0.01 mag.",Quintero-Salazar et al.2026,2024-05-00,2460431.5
NGC5584,2024ApJ...976..177L,Li et al. 2024,F090W(F090W F150W),31.8,0.11,1,2024,2026,Baseline s=0.05 mag smoothing selects the brighter of two nearly equal Sobel peaks. Add sigma_var=0.07 mag for peak choices; the 0.032 mag maser uncertainty is excluded.,Quintero-Salazar et al.2026,2024-12-00,2460645.5
NGC5584,2024ApJ...976..177L,Li et al. 2024,F090W(F090W F150W),31.95,0.08,1,2024,2026,Alternative s=0.10 mag smoothing selects the fainter Sobel peak and raises mu_0 by 0.15 mag. Add sigma_var=0.07 mag; the 0.032 mag maser uncertainty is excluded.,Quintero-Salazar et al.2026,2024-12-00,2460645.5
